week,mean_stress,std_stress,mean_knowledge,std_knowledge,mean_motivation,mean_fatigue,mean_satisfaction,attendance_rate,assignments_submitted,assignments_late,assignments_missed,dropout_count,at_risk_count,is_exam_week
1,0.3151152904559832,0.06578498306695603,0.17202640230501584,0.08172265620431324,0.65543541909718,0.0,0.6912830759060657,0.8666666666666667,87,1,2,0,0,False
2,0.281288599178439,0.07086542519807049,0.17107505679918839,0.08041145528131641,0.6902481187838377,0.0,0.7142673464600999,0.8666666666666667,80,2,8,0,0,False
3,0.2483349029836827,0.08358973265422812,0.16721654980352657,0.07875708158134621,0.7155747952364984,0.0,0.738823031626451,0.8666666666666667,83,1,6,0,0,False
4,0.21677763405648037,0.09181669138682762,0.1635621222531595,0.07762171651868062,0.7254561144934111,0.0,0.7647398207424594,0.8666666666666667,85,0,5,0,0,False
5,0.1883726711263634,0.10741669913938492,0.16001869569060964,0.07638486038836977,0.7136838633496101,0.0,0.7916750858642341,0.8666666666666667,88,0,2,0,28,False
6,0.1638811812064534,0.12195396788730942,0.15600087297102627,0.07521016921836121,0.6801256720418999,0.0,0.8192544286697282,0.8666666666666667,88,0,2,0,28,False
7,0.38218473652789803,0.14290846791774017,0.16652168568446618,0.07723528273288417,0.6356720086773191,0.0,0.8383237592953855,0.9,86,0,4,0,28,True
8,0.34191469297740845,0.1567421431942741,0.16164410508031915,0.07595954444927824,0.5964317057953183,0.0,0.8599448219675757,0.9666666666666667,79,0,11,0,28,False
9,0.30273155757906633,0.17177156998234208,0.15676594157699025,0.07455817519676036,0.5743171144584086,0.0,0.8829120641423306,0.9666666666666667,80,1,9,0,28,False
10,0.2721626455908372,0.18329087435764474,0.15160865103397242,0.0733372689853924,0.5727932570303068,0.0,0.9055229159080499,0.9,76,1,13,0,28,False
11,0.24940583177768874,0.1907316009876354,0.14638870383703845,0.07193767503113822,0.5889198758852531,0.0,0.9244998591232184,0.8333333333333334,83,0,7,0,28,False
12,0.22407447144415335,0.19426521212716408,0.14150682951375368,0.07057618671791284,0.6171676054376721,0.0,0.9414240968311528,0.9333333333333333,82,1,7,0,28,False
13,0.20059967929109138,0.19526114026782176,0.1363823993741109,0.06943160089195806,0.6522657473614316,0.0,0.9551494102442131,0.9,88,1,1,0,28,False
14,0.4131107183924802,0.20514480455336753,0.14568299385293745,0.07148294294379377,0.6905504193324686,0.0,0.9612684279060592,0.9666666666666667,83,0,7,0,28,True
